slug,name,woo_id,status,product_type,hsn_code,tax_class,desc_len,short_len,video_url,audio_url,variant_count,product_images,variant_images,accordion_count,shipping_rate_rows,article_slug_count,relation_count,catalog_hidden
handmade-universal-bowl-for-sound-healing,Handmade Universal Bowl for Sound Healing,8143,ACTIVE,SIMPLE,"",gst-5,0,1118,"",https://sarveda-media.s3.amazonaws.com/media/wp/uploads/2023/11/Universal-Bowl-Strike-.mp3,1,6,0,7,4,0,4,false
handpan-stand,Handpan Stand,46907,ACTIVE,SIMPLE,"",standard,210,609,"","",1,5,0,7,4,0,0,false
hanging-bowls-zen-drops,Hanging Bowls/Zen Drops,45113,ACTIVE,VARIABLE,"",gst-5,423,579,"",https://sarveda-media.s3.amazonaws.com/media/wp/uploads/2025/03/Hanging-bowl-3.mp3,2,1,0,7,8,0,4,false
harmonium,Harmonium,44972,ACTIVE,VARIABLE,"",standard,531,531,"",https://sarveda-media.s3.amazonaws.com/media/wp/uploads/2025/03/Harmonium-small-1.mp3,2,1,0,7,8,0,4,false
heart-chakra-singing-bowl,Heart Chakra Singing Bowl,45473,ACTIVE,SIMPLE,"",gst-5,1261,1073,"",https://sarveda-media.s3.amazonaws.com/media/wp/uploads/2025/04/F3-2.mp3,1,4,0,7,4,0,4,false
hi-zafu-meditation-cushion-embroidered-with-lotus,Hi-Zafu Meditation Cushion - Embroidered with Lotus,9291,ACTIVE,VARIABLE,"",gst18,927,927,"","",5,12,5,7,20,0,3,false
hi-zafu-meditation-cushion-filled-with-buckwheat,Hi-Zafu Meditation Cushion - Filled with Buckwheat,6755,ACTIVE,VARIABLE,"",gst18,844,844,"","",12,26,12,7,48,0,0,false
ishana-black-gold-bowl,Ishana/Black-Gold Bowl,9949,DRAFT,VARIABLE,"",gst-5,0,1028,"","",8,7,8,7,32,0,0,false
jala-neti-pot-ceramic-185-ml,Jala Neti Pot - Ceramic 185 ml,5769,ACTIVE,VARIABLE,"",standard,0,399,"","",5,16,5,7,20,0,6,false
joint-bowl-or-knee-cut-bowl,Joint Bowl or Knee Cut Bowl,9978,ACTIVE,VARIABLE,"",gst-5,0,723,"",https://sarveda-media.s3.amazonaws.com/media/wp/uploads/2024/05/Joint-Bowl-8-inch.mp3,1,6,1,7,4,0,0,false
kenari-bracelet,Kenari Bracelet,42323,ACTIVE,SIMPLE,"",gst-5,0,684,"","",1,6,0,7,4,0,0,false
kenari-chimes-small-large,Kenari Chimes - Small & Large,45197,ACTIVE,VARIABLE,"",gst-5,629,629,"",https://sarveda-media.s3.amazonaws.com/media/wp/uploads/2025/04/kenari-chime-168.mp3,2,6,0,7,8,0,4,false
kenari-seed-shell-shakers,Kenari Seed Shell Shakers,7472,ACTIVE,VARIABLE,"",gst-5,0,505,"","",2,14,0,7,8,0,4,false
kenari-seed-shell-shaker-with-handle,Kenari Seed Shell Shaker with Handle,7349,DRAFT,SIMPLE,"",gst-5,0,786,"","",1,10,0,7,4,0,4,false
large-tuning-fork,Large Tuning Fork,49817,DRAFT,VARIABLE,"",standard,162,1404,"","",4,1,0,7,0,0,0,false
lotus-moderate-grip-yoga-mat,Lotus Moderate Grip Yoga Mat,8401,DRAFT,VARIABLE,"",gst-5,0,954,"","",24,22,24,7,96,0,0,false
lotus-superior-grip-yoga-mat,Lotus Superior Grip Yoga Mat,42648,DRAFT,VARIABLE,"",gst-5,337,936,"","",20,17,20,7,80,0,3,false
lotus-yoga-mat,Lotus Yoga Mat,46171,ACTIVE,VARIABLE,"",gst-5,343,996,"","",8,13,0,7,32,0,4,false
macrame-yoga-mat-straps,Macrame Yoga Mat Straps,7568,ACTIVE,VARIABLE,"",gst-5,0,460,"","",4,9,4,7,16,0,0,false
mayura-morchang-set,Mayura Morchang Set,48856,ACTIVE,VARIABLE,"",standard,724,2754,"","",4,1,0,7,16,0,0,false
mini-bamboo-and-aluminium-bar-chime,Mini Bamboo and Aluminium Bar Chime,7450,DRAFT,VARIABLE,"",gst18,0,389,"",https://sarveda-media.s3.amazonaws.com/media/wp/uploads/2023/08/9-Bar-Chime.mp3,2,8,0,7,8,0,0,false
mini-bamboo-slide-whistle,Mini Bamboo Slide Whistle,46495,ACTIVE,VARIABLE,"",gst12,230,2676,"","",3,3,0,7,12,0,4,false
mini-coconut-shakers-3-types,Mini Coconut Shakers - 3 Types,6062,ACTIVE,VARIABLE,"",gst-5,1,694,"","",4,15,3,7,16,0,4,false
mini-tongue-drum,Mini Tongue Drum,7491,ACTIVE,VARIABLE,"",gst12,0,763,"","",4,12,4,7,16,0,4,false
musical-wooden-frog,Musical Wooden Frog,7456,ACTIVE,VARIABLE,"",gst-5,0,486,"","",2,6,2,7,8,0,4,false
native-american-style-flute-handcrafted-wooden-melody-maker,Native American Style Flute – Handcrafted Wooden Melody Maker,48428,ACTIVE,SIMPLE,"",gst18,881,881,"","",1,1,0,7,4,0,0,false
natural-bamboo-xylophone-with-5-keys,Natural Bamboo Xylophone with 5 Keys,7435,ACTIVE,SIMPLE,"",gst12,0,903,"",https://sarveda-media.s3.amazonaws.com/media/wp/uploads/2023/08/Bamboo-Xylophone.mp3,1,8,0,7,4,0,4,false
natural-lavender-scented-eye-pillows,Natural Lavender Scented Eye Pillows,6519,ACTIVE,VARIABLE,"",gst18,0,970,"","",5,13,5,7,20,0,4,false
neem-wood-combs,Neem Wood Combs,5038,DRAFT,VARIABLE,"",gst-5,0,554,"","",5,8,5,7,20,0,0,false
ocarina-instruments,Ocarina Instruments,48373,DRAFT,VARIABLE,"",gst-zero-rate,640,640,"","",2,1,0,7,8,0,0,false
ocean-drums,Ocean Drums,9529,ACTIVE,VARIABLE,"",gst18,0,991,"",https://sarveda-media.s3.amazonaws.com/media/wp/uploads/2024/05/ocean-drum-35.mp3,9,9,3,7,36,0,5,false
painted-egg-shakers,Painted Egg Shakers,7404,ACTIVE,VARIABLE,"",gst-5,0,337,"","",3,11,3,7,12,0,4,false
pangi-seed-shell-rattle,Pangi Seed Shell Rattle,7356,ACTIVE,SIMPLE,"",gst-5,0,527,"","",1,5,0,7,4,0,0,false
plain-moderate-grip-yoga-mat,Plain Moderate Grip Yoga Mat,8379,DRAFT,VARIABLE,"",gst-5,0,871,"","",24,16,24,7,96,0,0,false
plain-superior-grip-yoga-mat,Plain Superior Grip Yoga Mat,42582,DRAFT,VARIABLE,"",gst-5,294,789,"","",20,17,20,7,80,0,3,false
plain-wind-tibetan-gong,Plain/Wind Tibetan Gong,8833,ACTIVE,VARIABLE,"",gst-5,0,435,"",https://sarveda-media.s3.amazonaws.com/media/wp/uploads/2024/01/18-inch-Chakra-Gong.mp3,8,6,7,7,32,0,0,false
plain-yoga-mats,Plain Yoga Mats,46220,ACTIVE,VARIABLE,"",gst-5,294,845,"","",8,17,0,7,32,0,3,false
pulse-tubes,Pulse Tubes,48512,ACTIVE,VARIABLE,"",standard,718,706,"","",3,1,0,7,12,0,0,false
rectangular-yoga-bolster,Rectangular Yoga Bolster,9675,ACTIVE,VARIABLE,"",gst18,0,621,"","",6,11,6,7,24,0,3,false
root-chakra-singing-bowl,Root Chakra Singing Bowl,45469,ACTIVE,SIMPLE,"",gst-5,1202,1202,"",https://sarveda-media.s3.amazonaws.com/media/wp/uploads/2025/04/C3.mp3,1,4,0,7,4,0,4,false
round-yoga-bolster,Round Yoga Bolster,6689,ACTIVE,VARIABLE,"",gst18,0,495,"","",8,15,8,7,32,0,4,false
sacred-symbols-singing-bowls,Sacred Symbols Singing Bowls,10008,ACTIVE,VARIABLE,"",gst-5,807,2186,"",https://sarveda-media.s3.amazonaws.com/media/wp/uploads/2024/05/Machine-Made-3.5-inch.mp3,15,12,15,7,60,0,0,false
shamanic-drum,Shamanic Drum,7293,ACTIVE,VARIABLE,"",gst18,0,744,"","",9,17,6,7,36,0,5,false
shamanic-drum-bags-ocean-drum-bags,Shamanic Drum Bags/Ocean Drum Bags,45131,ACTIVE,VARIABLE,"",gst18,371,471,"","",3,1,0,7,12,0,0,false
shankh-conch,Shankh/Conch,45449,ACTIVE,VARIABLE,"",gst-5,586,586,"","",3,1,0,7,12,0,4,false
shruthi-thali-gong-plates,Shruthi Thali/Gong Plates,45485,ACTIVE,VARIABLE,"",gst-5,1066,1066,"",https://sarveda-media.s3.amazonaws.com/media/wp/uploads/2025/04/Shruthi-plate-G.mp3,8,1,0,7,32,0,0,false
