product_slug,sku,is_default,status,mrp_paise,sale_paise,mrp_usd_cents,sale_usd_cents,video_url,variant_images,attrs,shipping_rows
spin-twist-drum-or-den-den-daiko,MI-TD-YY,true,ACTIVE,98500,89500,1570,1400,"",1,type=Large 3.5 in,4
spiral-snake-didgeridoo,MI-DG-SP-G,true,ACTIVE,784500,665000,10160,8450,"",1,color=Green,4
spiral-snake-didgeridoo,MI-DG-SP-R,false,ACTIVE,784500,665000,10160,8450,"",1,color=Red,4
s-shaped-didgeridoo,MI-DG-S-B,false,ACTIVE,914500,775000,11810,9750,"",1,color=Blue,4
s-shaped-didgeridoo,MI-DG-S-G,true,ACTIVE,914500,775000,11810,9750,"",1,color=Green,4
s-shaped-didgeridoo,MI-DG-S-R,false,ACTIVE,914500,775000,11810,9750,"",1,color=Red,4
stainless-steel-straws,SSS-2,true,ACTIVE,22800,17500,310,270,"",1,packs=pack-of-2,4
stainless-steel-straws,SSS-4,false,ACTIVE,31900,24500,430,380,"",1,packs=pack-of-4,4
sunshine-within-me,CB-SM,false,ACTIVE,161900,124500,2180,1950,"",0,bottle-type=without-brush;size=1L,4
sunshine-within-me,CB-SM-5,false,ACTIVE,115700,89000,1560,1390,"",0,bottle-type=without-brush;size=500ml,4
sunshine-within-me,CB-SM-B,true,ACTIVE,174900,134500,2360,2110,"",0,bottle-type=with-brush;size=1L,4
sunshine-within-me,CB-SM-B-5,false,ACTIVE,128100,98500,1730,1540,"",0,bottle-type=with-brush;size=500ml,4
svaram-sound-ships,woo-svar-sound,true,ACTIVE,800000,720500,10000,8000,"",0,"",4
swinging-chimes,MI-SC-6,true,ACTIVE,778500,689500,10500,9800,"",1,size=6 Bars,4
swinging-chimes,MI-SC-9,false,ACTIVE,989500,825000,13450,12300,"",1,size=9 Bars,4
tam-tam-chau-gong,MI-CG-16,true,ACTIVE,2150000,1950000,31500,29500,"",0,size=16 in,4
tam-tam-chau-gong,MI-CG-18,false,ACTIVE,2650000,2500000,40500,38500,"",0,size=18 in,4
tam-tam-chau-gong,MI-CG-20,false,ACTIVE,3350000,3150000,50500,48500,"",0,size=20 in,4
tam-tam-chau-gong,MI-CG-22,false,ACTIVE,3950000,3750000,60500,58000,"",0,size=22 in,4
tam-tam-chau-gong,MI-CG-24,false,ACTIVE,4750000,4500000,71500,69500,"",0,size=24 in,4
tam-tam-chau-gong,MI-CG-26,false,ACTIVE,5450000,5200000,82500,80000,"",0,size=26 in,4
tam-tam-chau-gong,MI-CG-28,false,ACTIVE,6250000,6050000,95500,93000,"",0,size=28 in,4
tam-tam-chau-gong,MI-CG-30,false,ACTIVE,8450000,8200000,147000,127000,"",0,size=30 in,4
tam-tam-chau-gong,MI-CG-32,false,ACTIVE,9550000,9300000,165000,144000,"",0,size=32 in,4
teak-wood-stainless-steel-xylophone,MI-XP-TW-15,false,ACTIVE,985000,695000,12900,8900,"",0,keys=15 Keys,4
teak-wood-stainless-steel-xylophone,MI-XP-TW-8,true,ACTIVE,513500,395000,6500,5750,"",0,keys=8 Keys,4
the-four-bowl-set-root-heart-third-eye-and-universal,MI-SB-4B-SET,true,ACTIVE,3990000,3690000,52900,49900,"",0,"",4
the-head-bowl,woo-45518,true,ACTIVE,1099000,999000,15000,14000,"",0,"",4
the-three-bowl-set-root-heart-and-third-eye,MI-SB-3B-SET,true,ACTIVE,3290000,2990000,43000,42000,"",0,"",4
third-eye-chakra-singing-bowl,MI-SB-TEC,true,ACTIVE,820000,720000,12500,11500,"",0,"",4
thunder-tube-basic-edition,MI-TT-20,true,ACTIVE,145000,132500,3350,2150,"",0,size=20cms,4
thunder-tube-basic-edition,MI-TT-25,false,ACTIVE,165000,145000,3550,2350,"",0,size=25cms,4
thunder-tube-basic-edition,MI-TT-30,false,ACTIVE,175000,155000,4050,2550,"",0,size=30cms,4
tibetan-buddhist-bell,MI-BB-2,true,ACTIVE,175500,135000,2600,2250,"",0,size=Small,4
tibetan-buddhist-bell,MI-BB-3,false,ACTIVE,214500,165000,2900,2550,"",0,size=Standard,4
tibetan-buddhist-bell,MI-BB-3.5,false,ACTIVE,240500,185000,3250,2900,"",0,size=Large,4
tibetan-buddhist-bell,MI-BB-6,false,ACTIVE,400000,356000,5000,4500,"",0,size=Extra Large,4
tingsha-bell,MI-TB-D-M,false,ACTIVE,229500,179500,3000,2500,"",0,size=Standard;type=Dark,4
tingsha-bell,MI-TB-D-S,false,ACTIVE,214500,165000,2500,2100,"",0,size=Small;type=Dark,4
tingsha-bell,MI-TB-E-M,false,ACTIVE,229500,179500,3000,2500,"",0,size=Standard;type=Etched,4
tingsha-bell,MI-TB-E-S,false,ACTIVE,214500,165000,2500,2100,"",0,size=Small;type=Etched,4
tingsha-bell,MI-TB-G-M,false,ACTIVE,229500,179500,3000,2500,"",0,size=Standard;type=Golden,4
tingsha-bell,MI-TB-G-S,true,ACTIVE,214500,165000,2500,2100,"",0,size=Small;type=Golden,4
